"","assembly_accession","bioproject_accession","biosample_common_name","biosample_description","tax_id","organism_name","source_db","biosample_owner","biosample_host","biosample_location","biosample_isolation","biosample_ecotype","assembly_level","contig_l50","contig_n50","gaps_between_scaffolds","atgc_count","gc_percent","genome_coverage","component_sequences","contigs","organelles","scaffolds","scaffold_l50","scaffold_n50","chromosomes","sequence_length","ungapped_length","organelle_description","organelle_sequence_length","is_SO","rank1","rank2","rank3","rank4","rank5","rank6","rank7","len_ratio","keep"
"61","GCA_013467485.1","PRJNA488266",NA,"Gossypium lobatum","34289","Gossypium lobatum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",68625,2398,NA,690001211,33,57.36,380358,922470,NA,380358,8,41563985,13,744535494,690009236,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium lobatum",0.926764729902857,FALSE
"62","GCA_046862605.1","PRJNA488266",NA,"Gossypium turneri","34284","Gossypium turneri","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",11146,18145,NA,832496224,33.5,65.1149,313958,455500,NA,313958,11,31132448,13,846438418,832519641,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium turneri",0.983556066567858,FALSE
"63","GCA_014189475.1","PRJNA573826",NA,"Solanum tuberosum","4113","Solanum tuberosum","GENBANK","Chinese Academy of Agricultural Sciences",NA,"Netherlands",NA,NA,"Chromosome",106,1725596,NA,809679092,35,1,12,4460,NA,12,5,66116962,12,810122902,809679092,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum tuberosum",0.999452169542542,FALSE
"64","GCA_028643805.1","PRJNA512907",NA,"Dasyurus viverrinus","9279","Dasyurus viverrinus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",20315,42318,NA,3059949673,36,90,386556,457206,NA,386556,3,531475703,7,3085907905,3059949673,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Dasyuromorphia","Dasyuridae","Dasyurus","Dasyurus viverrinus",0.991588137819038,FALSE
"65","GCA_028533375.1","PRJNA512907",NA,"Diceros bicornis","9805","Diceros bicornis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",8342,87018,NA,2591324278,41,99,636610,670561,NA,636610,17,59591286,42,2604568178,2591324278,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Diceros","Diceros bicornis",0.994915126387603,FALSE
"66","GCA_028627215.1","PRJNA512907",NA,"Macropus giganteus","9317","Macropus giganteus","GENBANK","Baylor College of Medicine",NA,NA,NA,"not collected","Chromosome",22825,41690,NA,3508341113,38.5,70,1012328,1081779,NA,1012328,4,392871110,8,3535619686,3508341113,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus giganteus",0.992284641612328,FALSE
"67","GCA_028551425.1","PRJNA512907",NA,"Prionailurus viverrinus","61388","Prionailurus viverrinus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",15832,45920,NA,2492129396,42,83,395495,457310,NA,395495,8,132313483,19,2510020520,2492129396,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Felidae","Prionailurus","Prionailurus viverrinus",0.99287212042394,FALSE
"68","GCA_905187595.1","PRJEB29505",NA,"Allium cepa","4679","Allium cepa","GENBANK","EBI",NA,"Netherlands",NA,NA,"Chromosome",93189,48298,NA,14586975752,33.5,55,89854,443023,NA,89854,6712,460718,8,14937426752,14586975752,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium","Allium cepa",0.976538730142856,FALSE
"69","GCA_013487665.1","PRJNA488266",NA,"Gossypium aridum","34290","Gossypium aridum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",70501,2287,NA,684836522,33,56.49,382310,921717,NA,382310,9,42243713,13,739119247,684842408,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium aridum",0.926565518053679,FALSE
"70","GCA_023348025.1","PRJNA612153",NA,"Eriocheir sinensis","95602","Eriocheir sinensis","GENBANK","Shanghai Ocean University",NA,"China: Suzhou, Yangcheng lake","freshwater lake",NA,"Chromosome",15374,17216,3529,1054199769,43,320,250602,346888,NA,250602,563,437729,73,1166416159,1054232783,NA,NA,FALSE,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Varunidae","Eriocheir","Eriocheir sinensis",0.903822169185158,FALSE
"71","GCA_000002325.2","PRJNA13660",NA,"Nasonia vitripennis","7425","Nasonia vitripennis","GENBANK","Baylor College of Medicine, Human Genome Sequencing Center",NA,NA,NA,NA,"Chromosome",3400,18840,71,239637596,41.5,6,26593,25484,NA,6169,71,708988,5,295780872,238616307,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Nasonia","Nasonia vitripennis",0.806733394849144,FALSE
"72","GCA_000151805.2","PRJNA17289",NA,"Taeniopygia guttata","59729","Taeniopygia guttata","GENBANK","Washington University School of Medicine, Genome Center, Dept of Genetics",NA,NA,NA,NA,"Chromosome",8015,38644,326,1222847868,41.5,5.5,124805,124805,NA,37421,37,8236790,35,1232118738,1222847838,NA,NA,FALSE,"Eukaryota","Chordata","Aves","Passeriformes","Estrildidae","Taeniopygia","Taeniopygia guttata",0.992475644015407,FALSE
"73","GCA_028533065.1","PRJNA512907",NA,"Trachops cirrhosus","148073","Trachops cirrhosus","GENBANK","Baylor College of Medicine",NA,"Belize: Ka'Kabish Archaeological Reserve in Orange Walk District","not collected","not collected","Chromosome",9424,60077,NA,2164628127,42,106,396519,432766,NA,396519,7,124458213,15,2179537627,2164628127,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Chiroptera","Phyllostomidae","Trachops","Trachops cirrhosus",0.993159328925869,FALSE
"74","GCA_904067115.1","PRJEB40049",NA,"Aegilops sharonensis","58530","Aegilops sharonensis","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",124209,13123,NA,5817652204,47,20,93484,944736,NA,93484,4,867619200,7,6704676607,5817870874,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops","Aegilops sharonensis",0.867733257697451,FALSE
"75","GCA_046463855.1","PRJNA1003804",NA,"Citrus reticulata","85571","Citrus reticulata","GENBANK","Huazhong Agricultural University",NA,"China",NA,"not applicable","Chromosome",7,20745453,NA,334984841,36.5,1.2,320,367,NA,320,5,32237284,9,335710001,334984893,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus reticulata",0.997840076262727,FALSE
"76","GCA_046463875.1","PRJNA1003804",NA,"Citrus reticulata","85571","Citrus reticulata","GENBANK","Huazhong Agricultural University",NA,"China",NA,"not applicable","Chromosome",13,8572488,NA,348535642,34.5,1.2,215,375,NA,215,5,33574700,9,349219376,348535642,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus reticulata",0.998042107491768,FALSE
"77","GCA_047495955.1","PRJNA1091680",NA,"Costus allenii","168177","Costus allenii","GENBANK","University of California, Davis",NA,"Panama: Colon Province, Soberania National Park, Pipeline Road",NA,NA,"Chromosome",6,86057404,NA,1136999623,40,6,423,462,NA,423,5,120338736,9,1137003523,1136999623,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Zingiberales","Costaceae","Costus","Costus allenii",0.999996569931472,FALSE
"78","GCA_013511315.1","PRJNA488266",NA,"Gossypium laxum","34288","Gossypium laxum","GENBANK","Mississippi State University",NA,"USA: College Station",NA,NA,"Chromosome",110085,999,NA,739141750,34,60.66,470382,1423309,NA,470382,8,48342157,13,833895178,739184380,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium","Gossypium laxum",0.886423617141962,FALSE
"79","GCA_002162155.3","PRJNA310175",NA,"Triticum dicoccoides","85692","Triticum dicoccoides","GENBANK","The Institute for Cereal Crops Improvement, Tel Aviv University",NA,"Israel: Aaron Aaronsohn experimental farm Atlit",NA,"Zavitan","Chromosome",53280,57368,NA,10323492877,46,176,148296,492885,NA,148296,7,747227478,14,10677097747,10323492877,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum dicoccoides",0.966881930054508,FALSE
"80","GCA_900184675.1","PRJEB19929",NA,"Triticum dicoccoides","85692","Triticum dicoccoides","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",53281,57367,NA,10323499860,46,176,151912,493558,NA,149145,7,726427787,14,10494955245,10323499860,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum dicoccoides",0.983663066587951,FALSE
"81","GCA_001194135.2","PRJNA270931",NA,"Octopus bimaculoides","37653","Octopus bimaculoides","GENBANK","UC Berkeley",NA,"Pacific Ocean","wild caught off the coast of California",NA,"Chromosome",98071,5523,NA,1986264087,36,10,145326,713915,NA,145326,9,96881196,30,2342518435,1986264087,NA,NA,FALSE,"Eukaryota","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus","Octopus bimaculoides",0.847918230790786,FALSE
"82","GCA_003704135.2","PRJNA494229",NA,"Peromyscus polionotus subgriseus","369710","Peromyscus polionotus subgriseus","GENBANK","Harvard University",NA,NA,NA,NA,"Chromosome",52263,13217,NA,2328646717,42,290,318482,318482,NA,5292,9,117603569,24,2645110392,2328646717,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus polionotus",0.880358991459439,FALSE
"83","GCA_028658325.1","PRJNA512907",NA,"Potorous gilbertii","173936","Potorous gilbertii","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",19978,46323,NA,3800844471,38.5,71,1148168,1209112,NA,1148168,3,557804701,7,3826410559,3800844471,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Potoroidae","Potorous","Potorous gilbertii",0.993318519378464,FALSE
"84","GCA_904067125.1","PRJEB40050",NA,"Aegilops longissima","4486","Aegilops longissima","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",109347,14767,NA,5758273698,47,20,127931,881466,NA,127931,4,862608691,7,6689482705,5758464007,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops","Aegilops longissima",0.860823513706954,FALSE
"85","GCA_944222845.1","PRJEB40051",NA,"Aegilops speltoides subsp. speltoides","58531","Aegilops speltoides subsp. speltoides","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",60729,19024,NA,4236713663,47,20,182594,530916,NA,182594,5,536175046,7,5116924366,4236746999,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops","Aegilops speltoides",0.827987028135799,FALSE
"86","GCA_028534165.1","PRJNA512907",NA,"Coendou prehensilis","187985","Coendou prehensilis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",20912,32746,NA,2830257246,41,89,1753065,1798555,NA,1753065,23,42412415,37,2849765846,2830257246,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Erethizontidae","Coendou","Coendou prehensilis",0.993154314756287,FALSE
"87","GCA_000005975.1","PRJNA12366",NA,"Drosophila yakuba","7245","Drosophila yakuba","GENBANK","Harvard University, FlyBase",NA,NA,NA,NA,"Chromosome",275,115562,NA,162581874,42.5,9.1,13439,13440,NA,8122,4,21770863,7,165693946,162581957,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila yakuba",0.98121845079361,FALSE
"88","GCA_051107105.1","PRJNA1076684",NA,"Salanx ariakensis","221867","Salanx ariakensis","GENBANK","Institute of Oceanology, Chinese Academy of Sciences",NA,"China:Yangtze River Estuary",NA,"missing","Chromosome",34993,3180,NA,509008589,47,24,232053,366279,NA,232053,16,14662448,28,522431189,509008589,NA,NA,FALSE,"Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Salanx","Salanx ariakensis",0.974307429796271,FALSE
"89","GCA_028533255.1","PRJNA512907",NA,"Tapirus terrestris","9801","Tapirus terrestris","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",14413,46059,NA,2832270633,40.5,86,1711479,1749853,NA,1711479,21,47139982,40,2848289233,2832270633,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Perissodactyla","Tapiridae","Tapirus","Tapirus terrestris",0.994376062720594,FALSE
"90","GCA_046463865.1","PRJNA1003804",NA,"Citrus sp. TJH2","3388342","Citrus sp. TJH2","GENBANK","Huazhong Agricultural University",NA,"China",NA,"not applicable","Chromosome",126,518718,NA,332985924,35.5,1.2,1265,2791,NA,1265,5,33414500,9,339000924,332985924,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus sp. TJH2",0.98225668553045,FALSE
"91","GCA_028533215.1","PRJNA512907",NA,"Babyrousa celebensis","1303000","Babyrousa celebensis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",11838,52664,NA,2554163617,42,72,696483,743099,NA,696483,8,112896847,19,2571103617,2554163617,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Babyrousa","Babyrousa celebensis",0.993411389611841,FALSE
"92","GCA_028626985.1","PRJNA512907",NA,"Vombatus ursinus","29139","Vombatus ursinus","GENBANK","Baylor College of Medicine",NA,NA,NA,"not collected","Chromosome",11796,74778,NA,3323271740,39,71,633732,685857,NA,633732,3,576111283,7,3341345253,3323271740,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Diprotodontia","Vombatidae","Vombatus","Vombatus ursinus",0.994590947169026,FALSE
"93","GCA_046250135.1","PRJNA1188632",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","China Agricultural University",NA,"China",NA,NA,"Chromosome",19,266435262,NA,14456191132,46,1,25,315,NA,25,10,719314300,21,14456220132,14456191132,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.99999799394311,FALSE
"94","GCA_900519105.1","PRJEB27788",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",81456,51842,NA,14271578887,46,234,22,692998,NA,22,10,709773743,22,14547261565,14271578946,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.981049174253986,FALSE
"95","GCA_903993795.1","PRJEB39553",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",85747,48867,NA,14309736258,46,250,138393,705561,NA,138393,10,705338699,21,14538313898,14309736263,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.98427756914566,FALSE
"96","GCA_903993975.1","PRJEB39555",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",54204,75940,NA,14177916449,46,250,119569,508146,NA,119569,10,688905267,21,14281318419,14177916449,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.992759634162177,FALSE
"97","GCA_903993985.1","PRJEB39552",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",52720,80338,NA,14539438094,46,250,135719,501680,NA,135719,10,697493198,21,14645464107,14539438134,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.99276049074134,FALSE
"98","GCA_903994155.1","PRJEB39560",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",71170,58092,NA,14231117767,46,250,104381,603458,NA,104381,10,713929667,21,14463524036,14231117768,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.983931560011133,FALSE
"99","GCA_903994165.1","PRJEB39559",NA,"Triticum spelta","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",50185,83474,NA,14343758851,46,250,145069,487213,NA,145069,10,707105489,21,14439018734,14343758851,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.993402606869975,FALSE
"100","GCA_903994175.1","PRJEB39557",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",57437,71972,NA,14238173786,46,250,119606,533097,NA,119606,10,690770133,21,14350847906,14238173786,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.992148608867014,FALSE
"101","GCA_903994185.1","PRJEB39558",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",55705,76803,NA,14801034866,46,250,705997,1064262,NA,705997,10,685083685,21,14884612126,14801034939,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.994384993959365,FALSE
"102","GCA_903994195.1","PRJEB39554",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",77286,53971,NA,14220925698,46,250,98541,620781,NA,98541,10,708234589,21,14385030226,14220925698,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.988591992827141,FALSE
"103","GCA_903995565.1","PRJEB39556",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",81451,50686,NA,14167027129,46,250,106140,662766,NA,106140,10,705533140,21,14433190783,14167027129,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.981558918052029,FALSE
"104","GCA_904066035.1","PRJEB39982",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",65190,66892,NA,14796956800,46,320,21465,462368,NA,21465,10,712168462,21,14910390598,14796956836,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.992392301110125,FALSE
"105","GCA_951799155.2","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",267487,12853,NA,13428876925,46,47,121,3302151,NA,121,13,502756319,21,15334867051,13429488827,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.875748631033893,FALSE
"106","GCA_964488245.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",212400,16463,NA,13461083245,46,47,121,3055547,NA,121,13,468643331,21,14609379875,13461853453,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.921452763100254,FALSE
"107","GCA_964494315.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",224273,15666,NA,13347238049,46,50,121,3032476,NA,121,13,501004345,21,14544187080,13347932174,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.917750308118286,FALSE
"108","GCA_964498365.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",198381,18020,NA,13489059293,46,50,121,3034050,NA,121,13,491265411,21,14606342039,13489805423,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.923558094626378,FALSE
"109","GCA_964499505.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",238871,14619,NA,13349941058,46,46,121,3034721,NA,121,12,580285563,21,14808744357,13350650519,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.901538320680729,FALSE
"110","GCA_964500185.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"France",NA,NA,"Chromosome",199773,17967,NA,13421429527,46,45,121,2942162,NA,121,12,579157196,21,14678181592,13422212096,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.914432895646656,FALSE
"111","GCA_964506145.1","PRJEB60701",NA,"Triticum aestivum","4565","Triticum aestivum","GENBANK","EBI",NA,"United Kingdom",NA,NA,"Chromosome",265278,13054,NA,13485858769,46,45,121,3273091,NA,121,13,503638364,21,15194353121,13486553209,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum aestivum",0.887602986556916,FALSE
"112","GCA_900231445.1","PRJEB22687",NA,"Triticum turgidum subsp. durum","4567","Triticum turgidum subsp. durum","GENBANK","EBI",NA,NA,NA,NA,"Chromosome",50989,57921,NA,9836562273,46,270,14,330244,NA,14,7,722970987,14,9964338633,9836562273,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum turgidum",0.987176634124333,FALSE
"113","GCA_940337035.1","PRJEB47908",NA,"Agriotes lineatus","292458","Agriotes lineatus","GENBANK","EBI",NA,"Canada",NA,NA,"Chromosome",4905,201347,NA,3159019153,36,6,14154,23837,NA,14154,10,95282374,10,3159863714,3159019153,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","Agriotes lineatus",0.99973272233348,FALSE
"114","GCA_028627145.1","PRJNA512907",NA,"Eidolon dupreanum","58063","Eidolon dupreanum","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",4524,109255,NA,2286172677,40.5,137,1191098,1209684,NA,1191098,9,101563129,17,2294267257,2286172677,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon dupreanum",0.996471823421921,FALSE
"115","GCA_046463885.1","PRJNA1003804",NA,"Citrus maxima","37334","Citrus maxima","GENBANK","Huazhong Agricultural University",NA,"China",NA,"not applicable","Chromosome",39,2721718,NA,365408838,36.5,1.2,302,531,NA,302,5,31181466,9,365522392,365408876,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus maxima",0.999689441734667,FALSE
"116","GCA_003448955.2","PRJNA473393",NA,"Anopheles stephensi","30069","Anopheles stephensi","GENBANK","Institute of Bioinformatics and Applied Biotechnology",NA,NA,NA,"missing","Chromosome",448,88157,NA,160758371,45,1,5,5653,NA,5,2,51436555,5,193543668,160758479,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","Anopheles stephensi",0.830605726662161,FALSE
"117","GCA_003448975.2","PRJNA473393",NA,"Anopheles stephensi","30069","Anopheles stephensi","GENBANK","Institute of Bioinformatics and Applied Biotechnology",NA,NA,NA,"missing","Chromosome",981,44910,NA,168835253,45.5,1,5,7338,NA,5,2,43030556,5,180467922,168837391,NA,NA,FALSE,"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","Anopheles stephensi",0.935553471935029,FALSE
"118","GCA_035128595.1","PRJNA953751",NA,"Eptatretus atami","50612","Eptatretus atami","GENBANK","University College London",NA,"Pacific Ocean: Suruga Bay",NA,NA,"Chromosome",57782,12689,NA,2380116513,43.5,250,6307,712472,NA,6307,7,147609921,17,2517612418,2380116513,NA,NA,FALSE,"Eukaryota","Chordata","Myxini","Myxiniformes","Myxinidae","Eptatretus","Eptatretus atami",0.945386389097482,FALSE
"119","GCA_024364805.1","PRJNA661684",NA,"Euprymna scolopes","6613","Euprymna scolopes","GENBANK","University Vienna",NA,"USA: Hawaii","Hawaii, USA",NA,"Chromosome",237408,3675,NA,3314970704,34,10,1735,1535427,NA,1735,17,120303996,48,5116329061,3314970704,NA,NA,FALSE,"Eukaryota","Mollusca","Cephalopoda","Sepiida","Sepiolidae","Euprymna","Euprymna scolopes",0.647919761312632,FALSE
"120","GCA_028658305.1","PRJNA512907",NA,"Pachyuromys duprasi","298894","Pachyuromys duprasi","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",13048,47672,NA,2470903963,42,82,502065,551819,NA,502065,12,70283636,27,2488923329,2470903963,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Pachyuromys","Pachyuromys duprasi",0.992760176342097,FALSE
"121","GCA_015228065.1","PRJNA611030",NA,"Penaeus monodon","6687","Penaeus monodon","GENBANK","National Center for Genetic Engineering and Biotechnology,Thailand",NA,"Thailand:SuratThani","shrimp genetic improvement center",NA,"Chromosome",8354,45084,NA,2000767487,36.5,189,26875,1185584,NA,26875,23,44862054,44,2394331783,2000767610,NA,NA,FALSE,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus monodon",0.835626718153956,FALSE
"122","GCA_028533245.1","PRJNA512907",NA,"Helarctos malayanus","9634","Helarctos malayanus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",9389,73706,NA,2473195545,42,105,726300,762462,NA,726300,16,59704986,37,2486327345,2473195545,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Helarctos","Helarctos malayanus",0.994718394572457,FALSE
"123","GCA_028533765.1","PRJNA512907",NA,"Pteropus rufus","196297","Pteropus rufus","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",2680,213999,NA,2089525232,40,105,469091,483369,NA,469091,8,110476781,19,2094173032,2089525232,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Chiroptera","Pteropodidae","Pteropus","Pteropus rufus",0.997780603642116,FALSE
"124","GCA_028643795.1","PRJNA512907",NA,"Sciurus carolinensis","30640","Sciurus carolinensis","GENBANK","Baylor College of Medicine",NA,"not collected","not collected","not collected","Chromosome",40579,16665,NA,3160833808,40.5,80,2067066,2117925,NA,2067066,17,37295854,20,3182857308,3160833808,NA,NA,FALSE,"Eukaryota","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus carolinensis",0.993080588330289,FALSE
"125","GCA_006151565.1","PRJNA529655",NA,"Cicer arietinum","3827","Cicer arietinum","GENBANK","International Center for Agricultural Research in the Dry Areas",NA,"Egypt: Giza",NA,"chickpea","Chromosome",33895,2350,NA,298659503,31,47.4,8,385098,NA,8,4,48359835,8,347246965,299515872,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Cicer","Cicer arietinum",0.862544247146984,FALSE
"126","GCA_006345785.1","PRJNA529655",NA,"Cicer arietinum","3827","Cicer arietinum","GENBANK","International Center for Agricultural Research in the Dry Areas",NA,"Egypt: Giza",NA,"chickpea","Chromosome",36080,2241,NA,300588942,31,47,8,386573,NA,8,4,48359927,8,347247283,301528204,NA,NA,FALSE,"Eukaryota","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Cicer","Cicer arietinum",0.868338555150049,FALSE
